City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_Temp,Wind_Speed
115,Sorong,100,ID,1593394608,72,-0.88,131.25,82.18,4.41
116,Rongcheng,100,CN,1593394608,87,30.63,117.85,80.31,11.77
117,Kahului,40,US,1593394311,46,20.89,-156.47,89.6,20.8
118,Caravelas,5,BR,1593394609,87,-17.71,-39.25,72.77,8.99
119,Norman Wells,20,CA,1593394609,25,65.28,-126.83,75.2,8.05
120,São Luiz Gonzaga,65,BR,1593394609,92,-28.41,-54.96,52.16,10.04
121,Udachny,11,RU,1593394609,32,66.42,112.4,79.83,5.79
122,Naze,75,JP,1593394610,89,28.37,129.48,86.0,12.75
123,Ola,17,RU,1593394610,77,59.58,151.28,53.62,10.8
124,Ferkessédougou,51,CI,1593394610,92,9.6,-5.2,73.0,5.01
125,Yabēlo,93,ET,1593394610,97,4.88,38.08,58.53,7.74
126,Roald,100,NO,1593394610,93,62.58,6.13,57.2,8.05
127,Tasiilaq,100,GL,1593394611,93,65.61,-37.64,41.0,2.24
128,Laguna,1,US,1593394611,34,38.42,-121.42,80.6,9.17
129,Avera,1,US,1593394611,62,33.19,-82.53,84.2,4.7
130,Kapaa,20,US,1593394611,66,22.08,-159.32,84.2,10.29
131,Tuktoyaktuk,20,CA,1593394611,81,69.45,-133.04,48.2,10.29
132,Bilibino,100,RU,1593394612,52,68.05,166.44,47.86,10.31
133,Krapkowice,49,PL,1593394612,95,50.48,17.97,66.0,1.01
